"Taeil", "Moon Taeil", "Vocal", "19940614", "Korean", "NCT U; NCT 127"
"Johnny", "John Seo", "Rap; Dance", 19950209, "American", "NCT 127"
"Taeyong", "Lee Taeyong", "Rap; Dance; Leader", 19950107, "Korean", "NCT U; NCT 127"
"Yuta", "Nakamoto Yuta", "Vocal, Dance", 19951026, "Japanese", "NCT 127"
"Kun", "Qian Kun", "Vocal", 19960101, "Chinese", "NCT U"
"Doyoung", "Kim Dongyoung", "Vocal", 19960201, "Korean", "NCT U; NCT 127"
"Ten", "Chittaphon Leechaiyapornkul, "Vocal, Dance", "19960227, "Thai", "NCT U"
"Jaehyun", "Jung Yoon Oh", "Vocal", 19970214, "Korean", "NCT U; NCT 127"
"Winwin", "Dong Sicheng", "Visual", 19971028, "Chinese", "NCT U; NCT 127"
"Jungwoo", "Kim Jungwoo", "Vocal", 19990219, "Korean", "NCT U"
"Lucas", "Wong Yukhei", "Rap, Dance", 19990125, "Chinese; Thai", "NCT U"
"Mark", "Mark Lee", "Rap", 19990802, "Canadian", "NCT U; NCT 127; NCT Dream"
"Renjun", "Huang Renjun", "Vocal", 20000323, "Chinese", "NCT Dream"
"Jeno", "Lee Jeno", "Dance, Vocal", 20000423, "Korean", "NCT Dream"
"Haechan", "Lee Donghyuk", "Vocal", 20000606, "Korean", "NCT Dream"
"Jaemin", "Na Jaemin", "Rap; Dance", 20000813, "Korean", "NCT Dream"
"Chenle", "Zhong Chenle", "Vocal", 20011122, "Chinese", "NCT Dream"
"Jisung", "Park Jisung", "Vocal, Maknae", 20020205, "Korean", "NCT Dream"

